fighter_id,name,height,reach,stance,dob
efb96bf3e9ada36f,Song Yadong,172.7,170.2,Orthodox,1997-12-02
aa72b0f831d0bfe5,Deiveson Figueiredo,165.1,172.7,Orthodox,1987-12-18
a495f599e787614f,Alonzo Menifield,182.9,193.0,Orthodox,1987-10-18
8a65fd9ba31fd3f7,Zhang Mingyang,188.0,190.5,Orthodox,1998-08-16
f14cf73e51b29254,Sergei Pavlovich,190.5,213.4,Southpaw,1992-05-13
17923f676f100e16,Tallison Teixeira,200.7,210.8,Orthodox,1999-12-07
d33da8a3d82bdb62,Kai Asakura,172.7,175.3,Orthodox,1993-10-31
5c84f673b7bb7c15,Cameron Smotherman,175.3,175.3,Orthodox,1997-09-17
a845f0735bc67405,Jake Matthews,180.3,185.4,Orthodox,1994-08-19
a53d30163304aa6e,Carlston Harris,182.9,193.0,Orthodox,1987-07-09
ab2b4ff41d6ebe0f,Alex Perez,167.6,165.1,Orthodox,1992-03-21
3cf18e01cb6cbde3,Sumudaerji,172.7,182.9,Southpaw,1996-01-20
33a86e839ad202d8,Luis Felipe Dias,177.8,188.0,,1995-01-17
e6666480a830f764,YiSak Lee,182.9,182.9,Orthodox,2000-01-01
20a0e4cc5227c117,Jose Souza,190.5,200.7,Orthodox,2002-05-23
e0664abaa023fd6f,Ding Meng,188.0,185.4,Orthodox,1994-09-27
8e6654e9f0461b8f,Cody Haddon,170.2,175.3,Orthodox,1998-09-08
7d420039bbfe7c1a,Aoriqileng,170.2,175.3,Orthodox,1993-06-25
2f43a3e82661fa99,Rei Tsuruya,167.6,172.7,Orthodox,2002-06-22
29162be25ebef5f0,Luis Gurule,165.1,162.6,Orthodox,1993-11-16
f0feeb2192937424,Angela Hill,160.0,162.6,Orthodox,1985-01-12
2cdb479a0ef0ee1d,Xiong Jingnan,162.6,160.0,Switch,1988-01-12
2b266e623e20737a,Rodrigo Vera,172.7,172.7,Orthodox,1995-10-18
6f4ec5aa3eced219,Zhu Kangjie,167.6,177.8,Orthodox,1996-01-16
bc7d1ad49fcb2d08,Jaqueline Amorim,160.0,172.7,Orthodox,1995-06-24
4e30e4250cb08b61,Loma Lookboonmee,154.9,154.9,Orthodox,1996-01-18
040a74bb0a465c54,Arnold Allen,172.7,177.8,Southpaw,1994-01-22
20bccc9bb4ceb23e,Melquizael Costa,177.8,180.3,Southpaw,1996-09-14
e93b04e308913c2e,Dooho Choi,177.8,177.8,Orthodox,1991-04-10
b67d6bacc68d4c92,Daniel Santos,170.2,170.2,Orthodox,1995-03-12
74939a16c7b56f33,Juan Diaz,172.7,175.3,Orthodox,1998-06-03
2e45d08b3f2f02c8,Malcolm Wellmaker,177.8,180.3,Switch,1994-06-04
476fe566d2df676e,Modestas Bukauskas,190.5,193.0,Switch,1994-02-10
f5d82eccdea4e2dd,Christian Edwards,195.6,198.1,Southpaw,1998-11-05
